date,n1,n2,n3,n4,n5,n6
2/1/2018,37,34,27,46,4,28
2/4/2018,37,17,26,39,35,4
2/8/2018,3,29,23,40,39,9
2/11/2018,5,14,30,34,22,18
2/15/2018,30,33,5,2,34,19
2/18/2018,21,12,42,8,37,2
2/22/2018,47,8,35,18,26,2
2/25/2018,3,1,47,19,28,34
3/1/2018,6,11,39,43,33,9
3/4/2018,17,40,3,31,19,41
3/4/2018,20,40,19,32,39,29
3/8/2018,12,4,24,42,31,2
3/11/2018,27,43,48,29,35,1
3/15/2018,34,19,3,20,10,17
3/18/2018,9,37,41,33,47,25
3/22/2018,4,15,48,2,23,20
3/25/2018,2,39,12,36,34,20
3/29/2018,23,35,31,5,6,43
4/1/2018,12,23,20,11,42,18
4/8/2018,31,9,18,29,32,21
4/8/2018,45,49,9,37,7,31
4/12/2018,2,24,43,49,16,40
4/15/2018,15,9,31,21,13,4
4/19/2018,4,21,22,27,24,37
4/22/2018,14,18,39,21,45,29
4/26/2018,14,18,19,24,33,6
4/29/2018,30,49,14,46,37,32
5/3/2018,29,37,44,3,9,6
5/6/2018,35,16,25,9,23,49
5/10/2018,1,20,39,21,43,44
5/13/2018,33,9,17,49,11,34
5/17/2018,24,34,17,8,5,20
5/20/2018,12,16,33,45,3,10
5/24/2018,1,14,38,47,33,7
5/27/2018,2,27,14,45,7,46
5/31/2018,24,33,19,28,35,4
6/3/2018,1,11,47,22,36,46
6/7/2018,43,4,38,25,16,46
6/10/2018,47,21,25,22,40,42
6/14/2018,6,23,3,35,32,44
6/17/2018,3,19,20,23,17,37
6/21/2018,30,31,19,49,17,34
6/24/2018,24,49,42,3,21,41
6/28/2018,49,23,25,24,41,4
7/1/2018,19,43,20,18,5,11
7/5/2018,28,5,44,10,26,38
7/8/2018,25,36,31,8,7,40
7/12/2018,2,42,29,39,40,44
7/15/2018,3,29,46,32,23,27
7/19/2018,23,49,5,2,41,16
7/22/2018,4,48,39,44,24,9
7/26/2018,6,12,44,27,4,30
7/29/2018,38,9,14,45,31,23
8/2/2018,21,9,8,22,40,27
8/5/2018,2,31,43,24,40,19
8/9/2018,41,42,25,28,38,30
8/12/2018,3,23,16,12,10,45
8/16/2018,5,16,37,32,3,10
8/19/2018,31,15,24,18,33,35
8/23/2018,37,14,47,28,39,4
8/26/2018,19,43,26,27,14,38
8/30/2018,29,27,12,25,7,39
9/2/2018,45,43,28,14,18,4
9/6/2018,48,26,13,28,7,22
9/9/2018,44,16,27,48,9,19
9/13/2018,42,20,3,34,31,13
9/16/2018,33,22,37,36,42,29
9/16/2018,14,10,23,30,8,37
9/20/2018,42,35,33,39,25,7
9/23/2018,34,23,15,47,4,14
9/27/2018,29,11,4,45,33,28
9/30/2018,3,5,41,44,38,32
10/4/2018,34,26,12,32,7,42
10/7/2018,21,12,40,44,33,1
10/11/2018,6,11,33,19,23,8
10/14/2018,24,45,2,49,19,47
10/18/2018,34,27,32,10,13,11
10/21/2018,7,6,22,21,43,23
10/21/2018,45,47,25,18,2,10
10/25/2018,42,33,45,5,15,16
10/28/2018,24,10,4,48,33,43
11/1/2018,34,19,7,43,9,28
11/4/2018,40,34,22,36,32,41
11/8/2018,42,19,10,37,21,45
11/11/2018,10,23,30,21,7,39
11/15/2018,28,7,48,14,22,17
11/18/2018,48,23,15,37,35,28
11/18/2018,42,48,10,5,33,3
11/22/2018,20,15,18,7,28,23
11/25/2018,22,7,2,40,14,30
11/29/2018,3,12,27,18,9,4
12/2/2018,39,46,15,11,7,25
12/2/2018,33,7,19,47,11,25
12/6/2018,19,14,7,34,20,41
12/9/2018,22,23,24,9,47,33
12/13/2018,32,41,43,25,1,19
12/16/2018,47,33,34,16,44,27
12/20/2018,24,44,13,23,32,41
12/23/2018,26,41,24,25,23,36
12/31/2018,11,12,15,30,8,4
1/6/2019,7,45,30,17,6,26
1/10/2019,8,15,31,45,26,32
1/13/2019,22,14,17,33,7,9
1/17/2019,7,45,36,15,40,34
1/20/2019,35,15,26,17,46,21
1/24/2019,39,43,17,8,6,7
1/27/2019,26,7,4,42,48,6
1/31/2019,30,7,23,12,28,27
2/3/2019,35,48,18,34,49,29
2/7/2019,30,26,25,48,32,1
2/10/2019,12,45,48,38,24,5
2/14/2019,31,49,2,46,20,3
2/17/2019,13,45,28,17,12,47
2/21/2019,26,33,11,9,24,20
2/24/2019,2,3,49,25,31,17
2/28/2019,30,21,41,32,45,3
3/3/2019,26,42,24,20,36,33
3/7/2019,20,16,18,23,15,26
3/10/2019,4,20,1,10,5,42
3/14/2019,37,39,2,32,25,23
3/17/2019,1,36,40,21,4,39
3/21/2019,30,10,5,27,8,28
3/24/2019,13,45,49,26,18,28
3/28/2019,38,6,45,36,47,11
3/31/2019,14,13,19,12,21,25
4/4/2019,44,29,46,6,1,28
4/7/2019,4,2,8,5,25,14
4/11/2019,8,10,4,49,45,27
4/14/2019,12,44,4,36,31,39
4/18/2019,8,6,33,31,42,13
4/21/2019,26,23,47,21,35,24
4/27/2019,15,8,1,29,5,43
4/27/2019,46,10,7,5,41,9
5/2/2019,48,7,34,40,33,46
5/5/2019,42,28,13,6,19,48
5/9/2019,13,32,15,43,18,20
5/12/2019,27,6,11,44,42,24
5/16/2019,12,46,42,20,17,2
5/19/2019,43,26,15,11,24,25
5/23/2019,5,47,38,39,31,22
5/26/2019,16,43,48,14,19,26
5/30/2019,1,13,29,6,3,22
